Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
30,73,Zn,93,237,Np,-2,0.00000027456,0.00000006526,0.00000038234,0.00000011002,,,2024-11-18
30,73,Zn,93,237,Np,1,0.0000015554,0.00000036969,0.0000024936,0.00000071751,,,2024-11-18
30,74,Zn,93,237,Np,0,0.0000068344,0.0000012146,0.000011848,0.0000023828,,,2024-11-18
30,75,Zn,93,237,Np,0,0.000014053,0.0000028158,0.000024783,0.0000050634,,,2024-11-18
30,76,Zn,93,237,Np,0,0.000023462,0.0000058818,0.000041867,0.000010303,,,2024-11-18
30,77,Zn,93,237,Np,0,0.000017307,0.000005878,0.000032672,0.000010969,,,2024-11-18
30,77,Zn,93,237,Np,2,0.0000026458,0.00000089858,0.0000043501,0.0000014604,,,2024-11-18
30,78,Zn,93,237,Np,0,0.000012253,0.0000045956,0.000026352,0.0000095183,,,2024-11-18
30,79,Zn,93,237,Np,0,0.0000036015,0.0000014153,0.0000086869,0.0000032474,,,2024-11-18
30,80,Zn,93,237,Np,0,0.0000007289,0.00000028694,0.0000019483,0.00000074257,,,2024-11-18
30,81,Zn,93,237,Np,0,0.000000075932,0.000000028363,0.00000021486,0.000000078066,,,2024-11-18
30,82,Zn,93,237,Np,0,0.0000000052626,0.0000000019271,0.000000016761,0.0000000059005,,,2024-11-18
30,83,Zn,93,237,Np,0,0.0000000001543,0.000000000054848,0.00000000049948,0.0000000001772,,,2024-11-18
31,69,Ga,93,237,Np,0,0,0,0,0,,,2024-11-18
31,70,Ga,93,237,Np,0,0.0000000000055936,0.0000000000022304,0.0000000000068621,0.0000000000027214,,,2024-11-18
31,71,Ga,93,237,Np,0,0.0000000002847,0.00000000011042,0.00000000035298,0.00000000013789,,,2024-11-18
31,72,Ga,93,237,Np,0,0.00000000583,0.0000000022333,0.0000000078906,0.000000003067,,,2024-11-18
31,72,Ga,93,237,Np,-2,0.00000000065642,0.00000000025146,0.00000000077562,0.00000000030148,,,2024-11-18
31,73,Ga,93,237,Np,0,0.00000010575,0.000000040671,0.00000015452,0.000000059668,,,2024-11-18
31,74,Ga,93,237,Np,0,0.00000040532,0.00000015656,0.00000067355,0.00000025519,,,2024-11-18
31,74,Ga,93,237,Np,2,0.00000040532,0.00000015656,0.00000067355,0.00000025519,,,2024-11-18
31,75,Ga,93,237,Np,0,0.0000057722,0.0000019096,0.0000098873,0.0000032648,,,2024-11-18
31,76,Ga,93,237,Np,0,0.000020491,0.0000055725,0.000035611,0.0000096909,,,2024-11-18
31,77,Ga,93,237,Np,0,0.00005988,0.000012854,0.00010728,0.000021194,,,2024-11-18
31,78,Ga,93,237,Np,0,0.000084352,0.000023896,0.00017272,0.000039865,,,2024-11-18
31,79,Ga,93,237,Np,0,0.000097458,0.00003309,0.00022116,0.000062912,,,2024-11-18
31,80,Ga,93,237,Np,0,0.000053286,0.000020222,0.00013232,0.000046527,,,2024-11-18
31,81,Ga,93,237,Np,0,0.000025035,0.0000092596,0.000065108,0.000022962,,,2024-11-18
31,82,Ga,93,237,Np,0,0.0000050667,0.0000018528,0.000014632,0.0000051212,,,2024-11-18
31,83,Ga,93,237,Np,0,0.00000070701,0.00000025129,0.0000020624,0.00000073105,,,2024-11-18
31,84,Ga,93,237,Np,0,0.000000042861,0.000000014809,0.00000014869,0.000000052124,,,2024-11-18
31,85,Ga,93,237,Np,0,0.0000000019066,0.00000000064188,0.000000006268,0.0000000022004,,,2024-11-18
31,86,Ga,93,237,Np,0,0.000000000033863,0.000000000012419,0.00000000012922,0.000000000046177,,,2024-11-18
32,70,Ge,93,237,Np,0,0,0,0,0,,,2024-11-18
32,72,Ge,93,237,Np,0,0.000000000010827,0.0000000000041585,0.0000000000071349,0.0000000000027774,,,2024-11-18
32,73,Ge,93,237,Np,0,0.00000000038346,0.00000000014995,0.00000000028557,0.00000000011152,,,2024-11-18
32,73,Ge,93,237,Np,2,0.000000000088666,0.000000000034672,0.000000000057499,0.000000000022455,,,2024-11-18
32,74,Ge,93,237,Np,0,0.000000014956,0.0000000060704,0.000000012502,0.0000000049477,,,2024-11-18
32,75,Ge,93,237,Np,0,0.00000003509,0.000000013838,0.000000027211,0.000000010629,,,2024-11-18
32,75,Ge,93,237,Np,2,0.00000022954,0.000000090522,0.00000020437,0.000000079828,,,2024-11-18
32,76,Ge,93,237,Np,0,0.0000035304,0.0000013082,0.0000031922,0.0000012098,,,2024-11-18
32,77,Ge,93,237,Np,0,0.000019985,0.0000066302,0.000019268,0.0000069221,,,2024-11-18
32,77,Ge,93,237,Np,1,0.0000030551,0.0000010136,0.0000025654,0.00000092164,,,2024-11-18
32,78,Ge,93,237,Np,0,0.00011299,0.000026814,0.00012327,0.000034808,,,2024-11-18
32,79,Ge,93,237,Np,0,0.000037979,0.0000072297,0.000040668,0.0000088721,,,2024-11-18
32,79,Ge,93,237,Np,1,0.00024844,0.000047293,0.00030544,0.000066635,,,2024-11-18
32,80,Ge,93,237,Np,0,0.00057794,0.0001014,0.0007827,0.00013391,,,2024-11-18
32,81,Ge,93,237,Np,0,0.00053595,0.00012672,0.00083006,0.00016982,,,2024-11-18
32,81,Ge,93,237,Np,1,0.00012392,0.000029301,0.00016713,0.000034192,,,2024-11-18
32,82,Ge,93,237,Np,0,0.0005668,0.00016291,0.00096001,0.00022554,,,2024-11-18
32,83,Ge,93,237,Np,0,0.00022434,0.00007636,0.00035446,0.0001094,,,2024-11-18
32,84,Ge,93,237,Np,0,0.000062573,0.000021456,0.00011102,0.000037499,,,2024-11-18
32,85,Ge,93,237,Np,0,0.0000082198,0.0000027648,0.00001347,0.0000047079,,,2024-11-18
32,86,Ge,93,237,Np,0,0.0000006995,0.00000025652,0.0000013232,0.00000047262,,,2024-11-18
32,87,Ge,93,237,Np,0,0.000000024829,0.0000000096544,0.000000058667,0.000000022116,,,2024-11-18
32,88,Ge,93,237,Np,0,0.00000000068821,0.00000000024132,0.0000000019346,0.00000000070483,,,2024-11-18
32,89,Ge,93,237,Np,0,0.000000000008492,0.0000000000028873,0.000000000022226,0.0000000000080664,,,2024-11-18
33,74,As,93,237,Np,0,0.0000000000041165,0.0000000000016723,0.0000000000030817,0.0000000000012201,,,2024-11-18
